systemtap-3.2-0.20170512gitc67d8f274b21.fc27.i686         
├─systemtap-devel = 3.2-0.20170512gitc67d8f274b21.fc27    systemtap-devel-3.2-0.20170512gitc67d8f274b21.fc27.i686
├─libdw.so.1(ELFUTILS_0.148)                              elfutils-libs-0.170-1.fc27.i686
├─kernel-devel-uname-r                                    kernel-devel-4.13.0-0.rc1.git1.1.fc27.i686
├─libdw.so.1(ELFUTILS_0.142)                              elfutils-libs-0.170-1.fc27.i686
├─libdw.so.1(ELFUTILS_0.149)                              elfutils-libs-0.170-1.fc27.i686
└─libdw.so.1(ELFUTILS_0.157)                              elfutils-libs-0.170-1.fc27.i686
avahi-libs-0.7-1.fc27.i686                                
├─libdbus-1.so.3                                          dbus-libs-1:1.11.16-4.fc27.i686
└─libdbus-1.so.3(LIBDBUS_1_3)                             dbus-libs-1:1.11.16-4.fc27.i686
├─libcom_err.so.2                                         libcom_err-1.43.4-4.fc27.i686
├─libkrb5.so.3                                            krb5-libs-1.15.1-21.fc27.i686
├─libk5crypto.so.3                                        krb5-libs-1.15.1-21.fc27.i686
├─libgssapi_krb5.so.2                                     krb5-libs-1.15.1-21.fc27.i686
├─liblber-2.4.so.2                                        openldap-2.4.45-3.fc27.i686
├─libldap-2.4.so.2                                        openldap-2.4.45-3.fc27.i686
├─libgssapi_krb5.so.2(gssapi_krb5_2_MIT)                  krb5-libs-1.15.1-21.fc27.i686
systemtap-runtime-3.2-0.20170512gitc67d8f274b21.fc27.i686 
├─libgcc_s.so.1                                           libgcc-7.1.1-7.fc27.1.i686
├─libgcc_s.so.1(GCC_3.0)                                  libgcc-7.1.1-7.fc27.1.i686
├─libnspr4.so                                             nspr-4.16.0-1.fc27.i686
├─libnss3.so                                              nss-3.32.0-2.fc27.i686
├─libplc4.so                                              nspr-4.16.0-1.fc27.i686
├─libplds4.so                                             nspr-4.16.0-1.fc27.i686
├─libssl3.so                                              nss-3.32.0-2.fc27.i686
├─libsmime3.so                                            nss-3.32.0-2.fc27.i686
├─libnssutil3.so                                          nss-util-3.32.0-2.fc27.i686
├─libnss3.so(NSS_3.2)                                     nss-3.32.0-2.fc27.i686
├─libelf.so.1                                             elfutils-libelf-0.170-1.fc27.i686
├─libjson-c.so.2                                          json-c-0.12.1-2.fc27.i686
├─libnss3.so(NSS_3.4)                                     nss-3.32.0-2.fc27.i686
├─libelf.so.1(ELFUTILS_1.0)                               elfutils-libelf-0.170-1.fc27.i686
├─libnss3.so(NSS_3.12)                                    nss-3.32.0-2.fc27.i686
├─libnss3.so(NSS_3.6)                                     nss-3.32.0-2.fc27.i686
├─libnss3.so(NSS_3.10)                                    nss-3.32.0-2.fc27.i686
├─libnss3.so(NSS_3.5)                                     nss-3.32.0-2.fc27.i686
├─libnss3.so(NSS_3.9.2)                                   nss-3.32.0-2.fc27.i686
├─libsmime3.so(NSS_3.4)                                   nss-3.32.0-2.fc27.i686
├─libnss3.so(NSS_3.7)                                     nss-3.32.0-2.fc27.i686
├─libelf.so.1(ELFUTILS_1.5)                               elfutils-libelf-0.170-1.fc27.i686
├─libdyninstAPI.so.9.3                                    dyninst-9.3.2-2.fc27.i686
└─libsymtabAPI.so.9.3                                     dyninst-9.3.2-2.fc27.i686
├─liblber-2.4.so.2                                        openldap-2.4.45-3.fc27.i686
├─libldap-2.4.so.2                                        openldap-2.4.45-3.fc27.i686
├─/sbin/nologin                                           util-linux-2.30.1-1.fc27.i686
├─audit-libs >= 1.0.8                                     audit-libs-2.7.7-5.fc27.i686
dyninst-9.3.2-2.fc27.i686                                 
├─libgcc_s.so.1                                           libgcc-7.1.1-7.fc27.1.i686
├─libgcc_s.so.1(GCC_3.0)                                  libgcc-7.1.1-7.fc27.1.i686
├─libgcc_s.so.1(GLIBC_2.0)                                libgcc-7.1.1-7.fc27.1.i686
├─libboost_system.so.1.63.0                               boost-system-1.63.0-9.fc27.i686
├─libgcc_s.so.1(GCC_7.0.0)                                libgcc-7.1.1-7.fc27.1.i686
├─libboost_thread.so.1.63.0                               boost-thread-1.63.0-9.fc27.i686
├─libboost_date_time.so.1.63.0                            boost-date-time-1.63.0-9.fc27.i686
├─libboost_chrono.so.1.63.0                               boost-chrono-1.63.0-9.fc27.i686
├─libboost_atomic.so.1.63.0                               boost-atomic-1.63.0-9.fc27.i686
├─libelf.so.1                                             elfutils-libelf-0.170-1.fc27.i686
├─libelf.so.1(ELFUTILS_1.0)                               elfutils-libelf-0.170-1.fc27.i686
└─libdwarf.so.1                                           libdwarf-20170709-1.fc27.i686
json-c-0.12.1-2.fc27.i686                                 
boost-atomic-1.63.0-9.fc27.i686                           
├─libgcc_s.so.1                                           libgcc-7.1.1-7.fc27.1.i686
boost-chrono-1.63.0-9.fc27.i686                           
├─libgcc_s.so.1                                           libgcc-7.1.1-7.fc27.1.i686
├─libgcc_s.so.1(GCC_3.0)                                  libgcc-7.1.1-7.fc27.1.i686
├─libgcc_s.so.1(GLIBC_2.0)                                libgcc-7.1.1-7.fc27.1.i686
├─libboost_system.so.1.63.0                               boost-system-1.63.0-9.fc27.i686
└─boost-system(x86-32) = 1.63.0-9.fc27                    boost-system-1.63.0-9.fc27.i686
boost-date-time-1.63.0-9.fc27.i686                        
├─libgcc_s.so.1                                           libgcc-7.1.1-7.fc27.1.i686
├─libgcc_s.so.1(GCC_3.0)                                  libgcc-7.1.1-7.fc27.1.i686
boost-system-1.63.0-9.fc27.i686                           
├─libgcc_s.so.1                                           libgcc-7.1.1-7.fc27.1.i686
├─libgcc_s.so.1(GCC_3.0)                                  libgcc-7.1.1-7.fc27.1.i686
boost-thread-1.63.0-9.fc27.i686                           
├─libgcc_s.so.1                                           libgcc-7.1.1-7.fc27.1.i686
├─libgcc_s.so.1(GCC_3.0)                                  libgcc-7.1.1-7.fc27.1.i686
├─libgcc_s.so.1(GLIBC_2.0)                                libgcc-7.1.1-7.fc27.1.i686
├─libboost_system.so.1.63.0                               boost-system-1.63.0-9.fc27.i686
└─boost-system(x86-32) = 1.63.0-9.fc27                    boost-system-1.63.0-9.fc27.i686
libdwarf-20170709-1.fc27.i686                             
elfutils-libelf-0.170-1.fc27.i686                         
elfutils-libs-0.170-1.fc27.i686                           
├─libelf.so.1                                             elfutils-libelf-0.170-1.fc27.i686
├─libelf.so.1(ELFUTILS_1.0)                               elfutils-libelf-0.170-1.fc27.i686
├─libelf.so.1(ELFUTILS_1.3)                               elfutils-libelf-0.170-1.fc27.i686
├─libelf.so.1(ELFUTILS_1.5)                               elfutils-libelf-0.170-1.fc27.i686
├─libelf.so.1(ELFUTILS_1.6)                               elfutils-libelf-0.170-1.fc27.i686
├─libelf.so.1(ELFUTILS_1.1.1)                             elfutils-libelf-0.170-1.fc27.i686
├─libelf.so.1(ELFUTILS_1.4)                               elfutils-libelf-0.170-1.fc27.i686
├─libelf.so.1(ELFUTILS_1.7)                               elfutils-libelf-0.170-1.fc27.i686
├─default-yama-scope                                      elfutils-default-yama-scope-0.170-1.fc27.noarch
└─elfutils-libelf(x86-32) = 0.170-1.fc27                  elfutils-libelf-0.170-1.fc27.i686
libgcc-7.1.1-7.fc27.1.i686                                
├─libgcc_s.so.1                                           libgcc-7.1.1-7.fc27.1.i686
├─libgcc_s.so.1(GCC_3.0)                                  libgcc-7.1.1-7.fc27.1.i686
├─libgcc_s.so.1(GLIBC_2.0)                                libgcc-7.1.1-7.fc27.1.i686
├─libgcc_s.so.1(GCC_3.3)                                  libgcc-7.1.1-7.fc27.1.i686
├─libgcc_s.so.1(GCC_4.2.0)                                libgcc-7.1.1-7.fc27.1.i686
nspr-4.16.0-1.fc27.i686                                   
nss-3.32.0-2.fc27.i686                                    
├─libnspr4.so                                             nspr-4.16.0-1.fc27.i686
├─libplc4.so                                              nspr-4.16.0-1.fc27.i686
├─libplds4.so                                             nspr-4.16.0-1.fc27.i686
├─libnssutil3.so                                          nss-util-3.32.0-2.fc27.i686
├─libnssutil3.so(NSSUTIL_3.12)                            nss-util-3.32.0-2.fc27.i686
├─libnssutil3.so(NSSUTIL_3.14)                            nss-util-3.32.0-2.fc27.i686
├─libnssutil3.so(NSSUTIL_3.15)                            nss-util-3.32.0-2.fc27.i686
├─nss-pem                                                 nss-pem-1.0.3-5.fc27.i686
├─libnssutil3.so(NSSUTIL_3.12.3)                          nss-util-3.32.0-2.fc27.i686
├─libnssutil3.so(NSSUTIL_3.13)                            nss-util-3.32.0-2.fc27.i686
├─libnssutil3.so(NSSUTIL_3.17.1)                          nss-util-3.32.0-2.fc27.i686
├─libnssutil3.so(NSSUTIL_3.24)                            nss-util-3.32.0-2.fc27.i686
├─libnssutil3.so(NSSUTIL_3.12.5)                          nss-util-3.32.0-2.fc27.i686
├─libnssutil3.so(NSSUTIL_3.21)                            nss-util-3.32.0-2.fc27.i686
├─libnssutil3.so(NSSUTIL_3.31)                            nss-util-3.32.0-2.fc27.i686
├─nss-system-init                                         nss-sysinit-3.32.0-2.fc27.i686
├─nspr >= 4.16.0                                          nspr-4.16.0-1.fc27.i686
├─nss-util >= 3.32.0                                      nss-util-3.32.0-2.fc27.i686
└─nss-softokn(x86-32) >= 3.32.0                           nss-softokn-3.32.0-2.fc27.i686
nss-softokn-3.32.0-2.fc27.i686                            
├─libnspr4.so                                             nspr-4.16.0-1.fc27.i686
├─libplc4.so                                              nspr-4.16.0-1.fc27.i686
├─libplds4.so                                             nspr-4.16.0-1.fc27.i686
├─libnssutil3.so                                          nss-util-3.32.0-2.fc27.i686
├─libnssutil3.so(NSSUTIL_3.12)                            nss-util-3.32.0-2.fc27.i686
├─libnssutil3.so(NSSUTIL_3.14)                            nss-util-3.32.0-2.fc27.i686
├─libnssutil3.so(NSSUTIL_3.15)                            nss-util-3.32.0-2.fc27.i686
├─libnssutil3.so(NSSUTIL_3.12.3)                          nss-util-3.32.0-2.fc27.i686
├─libnssutil3.so(NSSUTIL_3.13)                            nss-util-3.32.0-2.fc27.i686
├─libnssutil3.so(NSSUTIL_3.17.1)                          nss-util-3.32.0-2.fc27.i686
├─libnssutil3.so(NSSUTIL_3.24)                            nss-util-3.32.0-2.fc27.i686
├─nspr >= 4.16.0                                          nspr-4.16.0-1.fc27.i686
├─nss-util >= 3.32.0                                      nss-util-3.32.0-2.fc27.i686
└─nss-softokn-freebl(x86-32) >= 3.32.0-2.fc27             nss-softokn-freebl-3.32.0-2.fc27.i686
nss-util-3.32.0-2.fc27.i686                               
├─libnspr4.so                                             nspr-4.16.0-1.fc27.i686
├─libplc4.so                                              nspr-4.16.0-1.fc27.i686
├─libplds4.so                                             nspr-4.16.0-1.fc27.i686
└─nspr >= 4.16.0                                          nspr-4.16.0-1.fc27.i686
nss-softokn-freebl-3.32.0-2.fc27.i686                     
nss-sysinit-3.32.0-2.fc27.i686                            
├─libnspr4.so                                             nspr-4.16.0-1.fc27.i686
├─libplc4.so                                              nspr-4.16.0-1.fc27.i686
├─libplds4.so                                             nspr-4.16.0-1.fc27.i686
├─libnssutil3.so                                          nss-util-3.32.0-2.fc27.i686
├─libnssutil3.so(NSSUTIL_3.12)                            nss-util-3.32.0-2.fc27.i686
├─libnssutil3.so(NSSUTIL_3.14)                            nss-util-3.32.0-2.fc27.i686
└─nss = 3.32.0-2.fc27                                     nss-3.32.0-2.fc27.i686
shadow-utils-2:4.5-3.fc27.i686                            
├─libaudit.so.1                                           audit-libs-2.7.7-5.fc27.i686
├─libsemanage.so.1                                        libsemanage-2.7-1.fc27.i686
├─libsemanage.so.1(LIBSEMANAGE_1.0)                       libsemanage-2.7-1.fc27.i686
├─audit-libs >= 1.6.5                                     audit-libs-2.7.7-5.fc27.i686
gcc-7.1.1-7.fc27.1.i686                                   
├─libgcc_s.so.1                                           libgcc-7.1.1-7.fc27.1.i686
├─libmpfr.so.4                                            mpfr-3.1.5-5.fc27.i686
├─libmpc.so.3                                             libmpc-1.0.2-8.fc27.i686
├─libgomp.so.1                                            libgomp-7.1.1-7.fc27.1.i686
├─libisl.so.15                                            isl-0.16.1-3.fc27.i686
├─libasan.so.4                                            libasan-7.1.1-7.fc27.1.i686
├─libatomic.so.1                                          libatomic-7.1.1-7.fc27.1.i686
├─libcilkrts.so.5                                         libcilkrts-7.1.1-7.fc27.1.i686
├─libmpx.so.2                                             libmpx-7.1.1-7.fc27.1.i686
├─libmpxwrappers.so.2                                     libmpx-7.1.1-7.fc27.1.i686
├─libubsan.so.0                                           libubsan-7.1.1-7.fc27.1.i686
├─cpp = 7.1.1-7.fc27.1                                    cpp-7.1.1-7.fc27.1.i686
├─libgomp = 7.1.1-7.fc27.1                                libgomp-7.1.1-7.fc27.1.i686
├─binutils >= 2.24                                        binutils-2.29-6.fc27.i686
└─libgcc >= 7.1.1-7.fc27.1                                libgcc-7.1.1-7.fc27.1.i686
├─libgcc(x86-32)                                          libgcc-7.1.1-7.fc27.1.i686
cpp-7.1.1-7.fc27.1.i686                                   
├─libmpfr.so.4                                            mpfr-3.1.5-5.fc27.i686
├─libmpc.so.3                                             libmpc-1.0.2-8.fc27.i686
libgomp-7.1.1-7.fc27.1.i686                               
rpm-libs-4.13.0.1-41.fc27.i686                            
├─libelf.so.1                                             elfutils-libelf-0.170-1.fc27.i686
├─liblua-5.3.so                                           lua-libs-5.3.4-5.fc27.i686
├─libelf.so.1(ELFUTILS_1.0)                               elfutils-libelf-0.170-1.fc27.i686
├─rpm = 4.13.0.1-41.fc27                                  rpm-4.13.0.1-41.fc27.i686
├─rpm-plugin-selinux(x86-32) = 4.13.0.1-41.fc27           rpm-plugin-selinux-4.13.0.1-41.fc27.i686
rpm-4.13.0.1-41.fc27.i686                                 
├─libelf.so.1                                             elfutils-libelf-0.170-1.fc27.i686
├─liblua-5.3.so                                           lua-libs-5.3.4-5.fc27.i686
├─librpm.so.7                                             rpm-libs-4.13.0.1-41.fc27.i686
├─librpmio.so.7                                           rpm-libs-4.13.0.1-41.fc27.i686
├─curl                                                    curl-minimal-7.55.0-1.fc27.i686
├─libarchive.so.13                                        libarchive-3.3.1-3.fc27.i686
├─/usr/bin/db_stat                                        libdb-utils-5.3.28-26.fc27.i686
rpm-plugin-selinux-4.13.0.1-41.fc27.i686                  
├─libelf.so.1                                             elfutils-libelf-0.170-1.fc27.i686
├─liblua-5.3.so                                           lua-libs-5.3.4-5.fc27.i686
├─librpm.so.7                                             rpm-libs-4.13.0.1-41.fc27.i686
├─librpmio.so.7                                           rpm-libs-4.13.0.1-41.fc27.i686
└─rpm-libs(x86-32) = 4.13.0.1-41.fc27                     rpm-libs-4.13.0.1-41.fc27.i686
unzip-6.0-36.fc27.i686                                    
zip-3.0-20.fc27.i686                                      
└─unzip                                                   unzip-6.0-36.fc27.i686
krb5-libs-1.15.1-21.fc27.i686                             
├─libcom_err.so.2                                         libcom_err-1.43.4-4.fc27.i686
├─gawk                                                    gawk-4.1.4-5.fc27.i686
├─libkeyutils.so.1                                        keyutils-libs-1.5.10-3.fc27.i686
├─libverto.so.1                                           libverto-0.2.6-11.fc27.i686
├─libkeyutils.so.1(KEYUTILS_0.3)                          keyutils-libs-1.5.10-3.fc27.i686
├─libkeyutils.so.1(KEYUTILS_1.0)                          keyutils-libs-1.5.10-3.fc27.i686
├─libkeyutils.so.1(KEYUTILS_1.5)                          keyutils-libs-1.5.10-3.fc27.i686
└─keyutils-libs >= 1.5.8                                  keyutils-libs-1.5.10-3.fc27.i686
libcom_err-1.43.4-4.fc27.i686                             
openldap-2.4.45-3.fc27.i686                               
├─libnspr4.so                                             nspr-4.16.0-1.fc27.i686
├─libplc4.so                                              nspr-4.16.0-1.fc27.i686
├─libplds4.so                                             nspr-4.16.0-1.fc27.i686
├─libnssutil3.so                                          nss-util-3.32.0-2.fc27.i686
├─libnss3.so                                              nss-3.32.0-2.fc27.i686
├─libsasl2.so.3                                           cyrus-sasl-lib-2.1.26-34.fc27.i686
├─libsmime3.so                                            nss-3.32.0-2.fc27.i686
├─libssl3.so                                              nss-3.32.0-2.fc27.i686
├─libnss3.so(NSS_3.2)                                     nss-3.32.0-2.fc27.i686
├─libnss3.so(NSS_3.3)                                     nss-3.32.0-2.fc27.i686
├─libnss3.so(NSS_3.12)                                    nss-3.32.0-2.fc27.i686
├─libnss3.so(NSS_3.4)                                     nss-3.32.0-2.fc27.i686
├─libnss3.so(NSS_3.8)                                     nss-3.32.0-2.fc27.i686
├─libnss3.so(NSS_3.10)                                    nss-3.32.0-2.fc27.i686
├─libnss3.so(NSS_3.11)                                    nss-3.32.0-2.fc27.i686
├─libnss3.so(NSS_3.12.1)                                  nss-3.32.0-2.fc27.i686
├─libnss3.so(NSS_3.12.9)                                  nss-3.32.0-2.fc27.i686
├─libnss3.so(NSS_3.6)                                     nss-3.32.0-2.fc27.i686
├─libnss3.so(NSS_3.9.2)                                   nss-3.32.0-2.fc27.i686
├─libnss3.so(NSS_3.9.3)                                   nss-3.32.0-2.fc27.i686
├─libssl3.so(NSS_3.14)                                    nss-3.32.0-2.fc27.i686
├─libssl3.so(NSS_3.2)                                     nss-3.32.0-2.fc27.i686
├─libssl3.so(NSS_3.4)                                     nss-3.32.0-2.fc27.i686
├─libssl3.so(NSS_3.7.4)                                   nss-3.32.0-2.fc27.i686
├─libnss3.so(NSS_3.11.1)                                  nss-3.32.0-2.fc27.i686
└─libnss3.so(NSS_3.12.5)                                  nss-3.32.0-2.fc27.i686
audit-libs-2.7.7-5.fc27.i686                              
└─libcap-ng.so.0                                          libcap-ng-0.7.8-5.fc27.i686
util-linux-2.30.1-1.fc27.i686                             
├─libsystemd.so.0                                         systemd-libs-234-3.fc27.i686
├─libuuid.so.1                                            libuuid-2.30.1-1.fc27.i686
├─libcap-ng.so.0                                          libcap-ng-0.7.8-5.fc27.i686
├─libaudit.so.1                                           audit-libs-2.7.7-5.fc27.i686
├─libblkid.so.1                                           libblkid-2.30.1-1.fc27.i686
├─libuuid.so.1(UUID_1.0)                                  libuuid-2.30.1-1.fc27.i686
├─libblkid.so.1(BLKID_2.15)                               libblkid-2.30.1-1.fc27.i686
├─libblkid.so.1(BLKID_2.17)                               libblkid-2.30.1-1.fc27.i686
├─libmount.so.1                                           libmount-2.30.1-1.fc27.i686
├─libpam.so.0                                             pam-1.3.0-5.fc27.i686
├─libudev.so.1                                            systemd-libs-234-3.fc27.i686
├─libpam.so.0(LIBPAM_1.0)                                 pam-1.3.0-5.fc27.i686
├─libsystemd.so.0(LIBSYSTEMD_209)                         systemd-libs-234-3.fc27.i686
├─libudev.so.1(LIBUDEV_183)                               systemd-libs-234-3.fc27.i686
├─libblkid.so.1(BLKID_1.0)                                libblkid-2.30.1-1.fc27.i686
├─libmount.so.1(MOUNT_2.19)                               libmount-2.30.1-1.fc27.i686
├─libmount.so.1(MOUNT_2.24)                               libmount-2.30.1-1.fc27.i686
├─libpam_misc.so.0                                        pam-1.3.0-5.fc27.i686
├─libblkid.so.1(BLKID_2.21)                               libblkid-2.30.1-1.fc27.i686
├─libfdisk.so.1                                           libfdisk-2.30.1-1.fc27.i686
├─libmount.so.1(MOUNT_2.20)                               libmount-2.30.1-1.fc27.i686
├─libmount.so.1(MOUNT_2.21)                               libmount-2.30.1-1.fc27.i686
├─libmount.so.1(MOUNT_2.22)                               libmount-2.30.1-1.fc27.i686
├─libmount.so.1(MOUNT_2.23)                               libmount-2.30.1-1.fc27.i686
├─libpam_misc.so.0(LIBPAM_MISC_1.0)                       pam-1.3.0-5.fc27.i686
├─libsmartcols.so.1                                       libsmartcols-2.30.1-1.fc27.i686
├─libutempter.so.0                                        libutempter-1.1.6-11.fc27.i686
├─libblkid.so.1(BLKID_2.18)                               libblkid-2.30.1-1.fc27.i686
├─libblkid.so.1(BLKID_2.20)                               libblkid-2.30.1-1.fc27.i686
├─libblkid.so.1(BLKID_2.25)                               libblkid-2.30.1-1.fc27.i686
├─libblkid.so.1(BLKID_2.30)                               libblkid-2.30.1-1.fc27.i686
├─libfdisk.so.1(FDISK_2.26)                               libfdisk-2.30.1-1.fc27.i686
├─libfdisk.so.1(FDISK_2.27)                               libfdisk-2.30.1-1.fc27.i686
├─libfdisk.so.1(FDISK_2.28)                               libfdisk-2.30.1-1.fc27.i686
├─libfdisk.so.1(FDISK_2.29)                               libfdisk-2.30.1-1.fc27.i686
├─libfdisk.so.1(FDISK_2.30)                               libfdisk-2.30.1-1.fc27.i686
├─libmount.so.1(MOUNT_2.25)                               libmount-2.30.1-1.fc27.i686
├─libmount.so.1(MOUNT_2.30)                               libmount-2.30.1-1.fc27.i686
├─libsmartcols.so.1(SMARTCOLS_2.25)                       libsmartcols-2.30.1-1.fc27.i686
├─libsmartcols.so.1(SMARTCOLS_2.27)                       libsmartcols-2.30.1-1.fc27.i686
├─libsmartcols.so.1(SMARTCOLS_2.28)                       libsmartcols-2.30.1-1.fc27.i686
├─libsmartcols.so.1(SMARTCOLS_2.29)                       libsmartcols-2.30.1-1.fc27.i686
├─libsmartcols.so.1(SMARTCOLS_2.30)                       libsmartcols-2.30.1-1.fc27.i686
├─libutempter.so.0(UTEMPTER_1.1)                          libutempter-1.1.6-11.fc27.i686
├─/etc/pam.d/system-auth                                  pam-1.3.0-5.fc27.i686
